time,symbol,price
09:16:00,STOCK_5559,2158.95
09:16:00,STOCK_3848,2035.325
09:16:00,STOCK_3940,1970.325
09:16:00,STOCK_3643,1864.125
09:16:00,STOCK_3447,1772.025
09:16:00,STOCK_5461,1660.25
09:16:00,STOCK_4580,1562.975
09:16:00,STOCK_3140,1462.6999999999998
09:16:00,STOCK_3337,1362.3000000000002
09:16:00,STOCK_4688,1262.875
09:16:00,STOCK_5047,1163.575
09:16:00,STOCK_4063,1064.0
09:16:00,STOCK_3311,965.6
09:16:00,STOCK_5769,867.825
09:16:00,STOCK_3365,769.575
09:16:00,STOCK_4127,673.5999999999999
09:16:00,STOCK_4699,578.95
09:16:00,STOCK_4441,486.375
09:16:00,STOCK_4989,398.2000000000001
09:16:00,STOCK_3415,317.6
09:16:00,STOCK_3979,244.475
09:16:00,STOCK_3824,183.175
09:16:00,STOCK_5628,132.425
09:16:00,STOCK_3561,93.25
09:16:00,STOCK_5226,64.0
09:16:00,STOCK_4548,43.575
09:16:00,STOCK_4487,29.3
09:16:00,STOCK_5904,19.95
09:16:00,STOCK_5498,13.6
09:16:00,STOCK_3245,9.25
09:16:00,STOCK_4771,6.25
09:16:00,STOCK_4583,4.025
09:16:00,STOCK_4073,3.125
09:16:00,STOCK_5151,2.4000000000000004
09:16:00,STOCK_4137,2.175
09:16:00,STOCK_4935,2.075
09:16:00,STOCK_4731,1.875
09:16:00,STOCK_4146,1.8
09:16:00,STOCK_3401,1.6749999999999998
09:16:00,STOCK_3682,1.5
09:16:00,STOCK_6061,2.375
09:16:00,STOCK_4239,2.575
09:16:00,STOCK_6078,2.775
09:16:00,STOCK_4518,3.025
09:16:00,STOCK_3213,3.225
09:16:00,STOCK_3660,3.525
09:16:00,STOCK_5375,3.85
09:16:00,STOCK_3666,4.324999999999999
09:16:00,STOCK_4427,4.9
09:16:00,STOCK_4381,5.574999999999999
09:16:00,STOCK_3683,6.3
09:16:00,STOCK_3887,7.25
09:16:00,STOCK_4917,8.5
09:16:00,STOCK_5265,10.375
09:16:00,STOCK_4310,12.725
09:16:00,STOCK_3130,16.7
09:16:00,STOCK_3584,22.3
09:16:00,STOCK_5150,30.25
09:16:00,STOCK_3228,41.8
09:16:00,STOCK_3896,60.55
09:16:00,STOCK_4890,87.825
09:16:00,STOCK_5050,125.975
09:16:00,STOCK_4154,175.2
09:16:00,STOCK_4949,235.95
09:16:00,STOCK_4783,306.2
09:16:00,STOCK_3870,386.825
09:16:00,STOCK_3177,471.7000000000001
09:16:00,STOCK_3439,562.45
09:16:00,STOCK_5282,655.9749999999999
09:16:00,STOCK_5440,751.3
09:16:00,STOCK_4144,848.675
09:16:00,STOCK_4781,945.65
09:16:00,STOCK_3954,1045.225
