time,symbol,tradeSize,tradePrice
09:18:29,STOCK_4487,-1.0,22.95
09:18:31,STOCK_3584,4.0,21.8
09:18:34,STOCK_3584,-4.0,21.65
09:19:18,STOCK_4487,-2.0,19.45
09:19:18,STOCK_4487,-2.0,19.45
09:19:30,STOCK_4487,-4.0,19.85
09:19:43,STOCK_4548,-2.0,35.05
09:19:43,STOCK_4548,2.0,35.05
09:19:46,STOCK_3584,4.0,22.6
09:25:29,STOCK_4548,4.0,30.1
09:25:59,STOCK_3584,2.0,23.35
09:25:59,STOCK_3584,-2.0,23.4
09:26:21,STOCK_4548,-4.0,26.55
09:33:36,STOCK_4548,1.0,25.25
09:33:36,STOCK_4548,-1.0,25.3
09:33:36,STOCK_4548,-2.0,25.3
09:33:42,STOCK_3584,4.0,24.05
09:38:13,STOCK_3870,-1.0,402.55
09:38:19,STOCK_3584,-4.0,23.9
09:38:23,STOCK_3584,-4.0,23.35
09:38:26,STOCK_3584,-4.0,23.55
09:44:32,STOCK_4548,1.0,21.4
09:44:32,STOCK_4548,-3.0,21.45
09:53:54,STOCK_5226,2.0,28.05
09:53:54,STOCK_5226,2.0,28.1
09:56:50,STOCK_4487,-1.0,10.05
09:56:51,STOCK_4487,1.0,10.05
10:00:18,STOCK_4487,2.0,10.05
10:13:18,STOCK_3870,1.0,407.85
10:13:25,STOCK_3584,-3.0,22.65
10:13:25,STOCK_3584,-1.0,22.7
10:13:30,STOCK_3584,-4.0,22.4
10:13:34,STOCK_3584,4.0,22.3
10:13:37,STOCK_3584,-4.0,22.2
10:33:28,STOCK_5150,-1.0,24.1
10:33:28,STOCK_5150,-1.0,24.05
10:33:28,STOCK_5150,2.0,24.0
10:36:46,STOCK_5150,-1.0,22.85
10:36:46,STOCK_5150,-1.0,22.85
10:37:18,STOCK_5150,-1.0,22.15
10:37:18,STOCK_5150,-1.0,22.45
10:44:35,STOCK_5226,-1.0,47.9
10:44:48,STOCK_5226,-1.0,46.05
10:45:06,STOCK_5150,-4.0,21.4
10:46:25,STOCK_5226,-1.0,45.85
10:46:25,STOCK_5226,1.0,46.1
10:46:36,STOCK_4548,-1.0,28.1
10:46:36,STOCK_4548,1.0,28.1
10:46:46,STOCK_4548,-2.0,26.45
10:58:27,STOCK_3870,1.0,375.0
10:58:32,STOCK_5150,-4.0,23.9
10:58:37,STOCK_5150,4.0,23.6
11:03:19,STOCK_3870,1.0,385.95
11:03:23,STOCK_5150,4.0,24.15
11:03:26,STOCK_5150,-2.0,23.6
11:03:26,STOCK_5150,-1.0,23.65
11:03:26,STOCK_5150,1.0,23.6
11:03:29,STOCK_5150,-4.0,23.7
11:07:39,STOCK_4548,-1.0,20.8
11:07:39,STOCK_4548,1.0,20.8
11:07:39,STOCK_4548,-2.0,20.85
11:07:47,STOCK_5150,-3.0,22.2
11:07:47,STOCK_5150,1.0,22.2
11:15:12,STOCK_4487,-2.0,10.05
11:16:09,STOCK_4487,2.0,9.55
11:16:33,STOCK_4487,-2.0,9.05
11:16:42,STOCK_5226,-4.0,26.15
11:16:51,STOCK_4487,1.0,8.55
11:16:51,STOCK_4487,1.0,8.55
11:17:05,STOCK_5226,-1.0,24.9
11:17:05,STOCK_5226,1.0,25.1
11:23:52,STOCK_3870,-1.0,399.95
11:23:56,STOCK_5150,1.0,22.8
11:23:56,STOCK_5150,-3.0,22.8
11:24:01,STOCK_5150,1.0,22.3
11:24:01,STOCK_5150,3.0,22.35
11:24:33,STOCK_5150,2.0,21.9
11:24:33,STOCK_5150,-2.0,21.9
11:30:55,STOCK_5150,4.0,21.05
11:31:06,STOCK_5226,1.0,27.15
11:31:06,STOCK_5226,-3.0,27.1
11:31:24,STOCK_5150,-4.0,20.2
11:33:23,STOCK_3228,4.0,26.05
11:37:42,STOCK_3228,-4.0,25.1
11:37:46,STOCK_3228,3.0,24.5
11:37:46,STOCK_3228,-1.0,24.45
11:37:50,STOCK_5226,1.0,27.9
11:37:50,STOCK_5226,-1.0,27.9
11:37:50,STOCK_5226,1.0,27.9
11:37:50,STOCK_5226,-1.0,27.85
11:38:31,STOCK_3228,-1.0,23.15
11:38:31,STOCK_3228,-3.0,23.15
11:39:16,STOCK_3228,-1.0,20.9
11:39:16,STOCK_3228,-1.0,20.9
11:39:16,STOCK_3228,1.0,20.9
11:39:16,STOCK_3228,-1.0,20.9
11:39:45,STOCK_3584,1.0,11.0
11:39:46,STOCK_3584,1.0,10.9
11:39:48,STOCK_3584,-1.0,11.05
11:39:49,STOCK_3584,1.0,11.1
11:42:00,STOCK_3584,-2.0,10.05
11:42:06,STOCK_3228,-1.0,20.2
11:42:06,STOCK_3228,-2.0,20.25
11:42:06,STOCK_3228,-1.0,20.25
11:42:28,STOCK_3584,2.0,9.8
11:42:45,STOCK_3228,4.0,20.85
11:42:49,STOCK_3584,2.0,9.8
11:43:58,STOCK_6061,2.0,1.55
11:43:58,STOCK_6061,-2.0,1.55
11:43:59,STOCK_3584,2.0,9.8
11:44:25,STOCK_6061,4.0,1.5
11:44:32,STOCK_3584,2.0,9.8
11:44:39,STOCK_3584,2.0,9.7
11:44:48,STOCK_3584,2.0,9.65
11:44:53,STOCK_3228,4.0,20.05
11:44:56,STOCK_3228,-4.0,20.0
11:44:57,STOCK_3584,2.0,9.55
11:45:07,STOCK_3584,1.0,9.55
11:45:07,STOCK_3584,-1.0,9.55
11:45:20,STOCK_3584,2.0,9.3
11:45:22,STOCK_3228,4.0,19.1
11:45:28,STOCK_3896,1.0,30.75
11:45:29,STOCK_3584,-2.0,9.05
11:45:29,STOCK_3896,3.0,30.7
11:45:39,STOCK_3584,-2.0,9.05
11:45:54,STOCK_3584,-1.0,8.8
11:45:54,STOCK_3584,1.0,8.8
11:45:58,STOCK_3584,2.0,8.8
11:46:00,STOCK_6061,-2.0,1.45
11:46:00,STOCK_6061,1.0,1.45
11:46:00,STOCK_6061,1.0,1.45
11:46:07,STOCK_3896,4.0,28.75
11:46:10,STOCK_3584,1.0,8.55
11:46:10,STOCK_3584,1.0,8.55
11:46:16,STOCK_3584,2.0,8.45
11:46:28,STOCK_3584,2.0,8.3
11:46:33,STOCK_3584,2.0,8.25
11:46:48,STOCK_3584,2.0,8.3
11:46:55,STOCK_3896,-4.0,28.05
11:47:04,STOCK_3584,1.0,8.45
11:47:04,STOCK_3584,1.0,8.45
11:47:05,STOCK_3584,1.0,8.45
11:47:05,STOCK_3584,1.0,8.45
11:47:15,STOCK_3896,1.0,27.9
11:47:15,STOCK_3896,-1.0,27.85
11:47:15,STOCK_3896,-1.0,27.85
11:47:15,STOCK_3896,-1.0,27.85
11:48:19,STOCK_6061,4.0,1.4
11:48:34,STOCK_3584,-2.0,8.05
11:48:58,STOCK_3896,-1.0,25.35
11:48:58,STOCK_3896,1.0,25.35
11:48:58,STOCK_3896,1.0,25.35
11:48:58,STOCK_3896,-1.0,25.4
11:50:27,STOCK_3896,3.0,24.65
11:50:27,STOCK_3896,1.0,24.6
11:52:12,STOCK_6061,4.0,1.5
11:56:41,STOCK_5150,-1.0,10.05
11:56:41,STOCK_5150,3.0,10.05
11:56:53,STOCK_3896,4.0,25.3
11:57:40,STOCK_5150,4.0,10.05
11:58:13,STOCK_3870,-1.0,332.8
11:59:22,STOCK_3870,-1.0,317.8
11:59:36,STOCK_5150,4.0,9.8
11:59:42,STOCK_3870,1.0,306.45
11:59:44,STOCK_5150,3.0,9.55
11:59:44,STOCK_5150,1.0,9.55
12:00:03,STOCK_5150,3.0,9.55
12:00:03,STOCK_5150,1.0,9.55
12:01:02,STOCK_5150,-4.0,9.75
12:01:10,STOCK_3896,-2.0,21.75
12:01:10,STOCK_3896,2.0,21.75
12:01:14,STOCK_5150,-4.0,9.55
12:01:25,STOCK_5150,2.0,9.75
12:01:25,STOCK_5150,1.0,9.75
12:01:25,STOCK_5150,-1.0,9.75
12:01:29,STOCK_3896,-4.0,21.0
12:01:32,STOCK_3896,1.0,21.0
12:01:32,STOCK_3896,-2.0,20.95
12:01:32,STOCK_3896,-1.0,20.95
12:02:43,STOCK_5150,4.0,10.05
12:03:14,STOCK_5150,4.0,9.8
12:04:16,STOCK_4548,-1.0,23.65
12:04:16,STOCK_4548,-1.0,23.65
12:04:16,STOCK_4548,1.0,23.65
12:04:16,STOCK_4548,-1.0,23.65
12:04:19,STOCK_3896,-4.0,21.9
12:04:29,STOCK_4548,-1.0,22.4
12:04:29,STOCK_4548,-1.0,22.4
12:04:29,STOCK_4548,-1.0,22.4
12:04:29,STOCK_4548,-1.0,22.4
12:05:52,STOCK_4548,-1.0,20.4
12:05:52,STOCK_4548,-3.0,20.35
12:07:14,STOCK_5150,-4.0,9.55
12:07:47,STOCK_3896,-1.0,21.75
12:07:47,STOCK_3896,-3.0,21.7
12:12:03,STOCK_5226,-4.0,28.55
12:19:42,STOCK_5150,-4.0,9.05
12:20:06,STOCK_6061,4.0,1.45
12:20:25,STOCK_3870,-1.0,309.0
12:20:35,STOCK_3896,1.0,19.9
12:20:35,STOCK_3896,-3.0,19.9
12:20:38,STOCK_5150,3.0,8.55
12:20:38,STOCK_5150,1.0,8.55
12:22:12,STOCK_6061,-3.0,1.4
12:22:12,STOCK_6061,-1.0,1.4
12:23:24,STOCK_6061,1.0,1.35
12:23:30,STOCK_6061,1.0,1.35
12:23:30,STOCK_6061,1.0,1.35
12:23:30,STOCK_6061,1.0,1.35
12:24:44,STOCK_4548,2.0,22.65
12:24:44,STOCK_4548,-2.0,22.65
12:24:48,STOCK_3896,4.0,20.4
12:31:01,STOCK_5150,4.0,8.05
12:31:08,STOCK_4890,4.0,29.5
12:31:11,STOCK_3228,1.0,10.05
12:31:11,STOCK_3228,3.0,10.05
12:31:15,STOCK_4890,3.0,27.8
12:31:15,STOCK_4890,-1.0,27.8
12:31:18,STOCK_4890,-4.0,28.2
12:31:24,STOCK_4890,-4.0,28.35
12:31:59,STOCK_3870,1.0,333.75
12:33:42,STOCK_3870,1.0,330.6
12:42:15,STOCK_4548,-1.0,20.3
12:42:15,STOCK_4548,-3.0,20.3
12:42:26,STOCK_4548,-1.0,20.8
12:42:26,STOCK_4548,-1.0,20.8
12:42:26,STOCK_4548,1.0,20.8
12:42:26,STOCK_4548,-1.0,20.8
12:42:32,STOCK_4890,-1.0,30.95
12:42:32,STOCK_4890,1.0,30.9
12:42:32,STOCK_4890,2.0,30.9
12:45:08,STOCK_3870,1.0,348.45
12:50:49,STOCK_3228,-1.0,12.0
12:50:49,STOCK_3228,-1.0,12.0
12:50:49,STOCK_3228,1.0,11.95
12:50:49,STOCK_3228,1.0,11.95
12:51:34,STOCK_5226,1.0,30.6
12:51:34,STOCK_5226,-1.0,30.4
12:53:56,STOCK_4890,-4.0,28.25
12:55:40,STOCK_4890,1.0,27.5
12:55:40,STOCK_4890,3.0,27.5
12:59:51,STOCK_4890,1.0,28.55
12:59:51,STOCK_4890,3.0,28.55
13:00:20,STOCK_3228,4.0,9.55
13:00:20,STOCK_3228,4.0,10.05
13:00:26,STOCK_4890,-1.0,23.6
13:00:26,STOCK_4890,-3.0,23.6
13:00:30,STOCK_4890,-4.0,25.2
13:00:38,STOCK_3228,-4.0,9.7
13:00:44,STOCK_3228,-1.0,9.35
13:00:44,STOCK_3228,3.0,9.35
13:00:49,STOCK_4890,-4.0,22.7
13:00:52,STOCK_4890,4.0,23.05
13:01:00,STOCK_4890,-4.0,22.1
13:01:02,STOCK_3228,-4.0,9.05
13:01:43,STOCK_3228,4.0,10.05
13:03:15,STOCK_3228,-2.0,9.55
13:03:15,STOCK_3228,2.0,9.55
13:03:34,STOCK_4890,-3.0,22.1
13:03:34,STOCK_4890,1.0,22.1
